wikidata_id,name,country,latitude,longitude,website,founded,area_ha,wikidata_url,source
Q533156,Villa Carlotta,Italy,45.9864,9.230838888,https://www.villacarlotta.it/,1700-01-01,,http://www.wikidata.org/entity/Q533156,Wikidata
Q533156,Villa Carlotta,Italy,45.9864,9.230838888,https://www.villacarlotta.it/en/,1700-01-01,,http://www.wikidata.org/entity/Q533156,Wikidata
Q533156,Villa Carlotta,Italy,45.9864,9.230838888,https://www.villacarlotta.it/,1700-01-01,,http://www.wikidata.org/entity/Q533156,Wikidata
Q533156,Villa Carlotta,Italy,45.9864,9.230838888,https://www.villacarlotta.it/en/,1700-01-01,,http://www.wikidata.org/entity/Q533156,Wikidata
Q24185,Exbury Gardens,United Kingdom,50.7986,-1.4005,https://www.exbury.co.uk/,,,http://www.wikidata.org/entity/Q24185,Wikidata
Q2835200,Jardin botanique du Château de Vauville,France,49.635,-1.845277777,https://www.jardin-vauville.fr/,,,http://www.wikidata.org/entity/Q2835200,Wikidata
Q2840327,Q2840327,Spain,37.7,-2.2,,,,http://www.wikidata.org/entity/Q2840327,Wikidata
Q2916832,Botanical Garden of the Apuan Alps \,Italy,44.05789722,10.19070278,http://www.parcapuane.toscana.it,,,http://www.wikidata.org/entity/Q2916832,Wikidata
Q2916832,Botanical Garden of the Apuan Alps \,Italy,44.05789722,10.19070278,http://www.parcapuane.toscana.it/orto/1_Giardino.asp?sb=3&cap=3,,,http://www.wikidata.org/entity/Q2916832,Wikidata
Q2843537,Henry Foundation for Botanical Research,United States,40.0333,-75.2833,,,,http://www.wikidata.org/entity/Q2843537,Wikidata
Q2892452,Q2892452,Mexico,,,,,,http://www.wikidata.org/entity/Q2892452,Wikidata
Q2882456,Orto Botanico di Brera,Italy,45.471024283,9.189242925,http://ortibotanici.unimi.it/en/,1774-01-01,,http://www.wikidata.org/entity/Q2882456,Wikidata
Q2882456,Orto Botanico di Brera,Italy,45.471024283,9.189242925,http://ortibotanici.unimi.it/it/,1774-01-01,,http://www.wikidata.org/entity/Q2882456,Wikidata
Q2876503,Giardino delle Orchidee Spontanee del Mediterraneo,Italy,41.95,12.08333333,,,,http://www.wikidata.org/entity/Q2876503,Wikidata
Q3003810,Denver Botanic Gardens,United States,39.7325,-104.960833,http://www.botanicgardens.org/,1951-01-01,,http://www.wikidata.org/entity/Q3003810,Wikidata
Q3048736,Edwards Gardens,Canada,43.7339,-79.3594,http://www.toronto.ca/parks/prd/facilities/complex/473/index.htm,,,http://www.wikidata.org/entity/Q3048736,Wikidata
Q2859693,Arboretum Marcel Kroenlein,France,44.096111111,7.088333333,https://arboretum-roure.org/,1987-01-01,,http://www.wikidata.org/entity/Q2859693,Wikidata
Q2994479,National Alpine Botanical Conservatory,France,44.5763,6.0513,http://www.cbn-alpin.fr/,,,http://www.wikidata.org/entity/Q2994479,Wikidata
Q3034795,Ljubljana Botanical Garden,Slovenia,46.040173027,14.514429395,http://www.botanicni-vrt.si,1810-01-01,,http://www.wikidata.org/entity/Q3034795,Wikidata
