city,col_2_comments,coordinates,country,founded,name,notes,region,source,source_url,wikipedia_url
,,,United Kingdom,,Bodenham,BodenhamArboretum[citation needed],,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Bodenham
,,,United Kingdom,,RHS Garden Harlow Carr,,,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/RHS_Garden_Harlow_Carr
,,,United Kingdom,,Sheffield Botanical Gardens,"Sheffield Botanical Gardens,Sheffield",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Sheffield_Botanical_Gardens
,,,United Kingdom,,Thorp Perrow Arboretum,"Thorp Perrow Arboretum,Bedale",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Thorp_Perrow_Arboretum
,,,United Kingdom,,The Yorkshire Arboretum,"The Yorkshire Arboretum, NrMalton",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/The_Yorkshire_Arboretum
,,,United Kingdom,,Museum Gardens,"Museum Gardens,York",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/York_Museum_Gardens
,,,United Kingdom,,Cruickshank Botanic Garden,"Cruickshank Botanic Garden,Aberdeen",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Cruickshank_Botanic_Garden
,,,United Kingdom,,Benmore Botanic Garden,"Benmore Botanic Garden, nearDunoon, first outstation of the Royal Botanic Garden Edinburgh",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Benmore_Botanic_Garden
,,,United Kingdom,,Crarae Gardens,"Crarae Gardens,Inveraray",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Crarae_Gardens
,,,United Kingdom,,University of Dundee Botanic Garden,,,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/University_of_Dundee_Botanic_Garden
,,,United Kingdom,,Royal Botanic Garden Edinburgh,"Royal Botanic Garden Edinburgh. The main site is inEdinburghatInverleith, with three ""Regional Gardens"":Benmore Botanic Gardenin Argyll, formerly known as the Younger Botanic GardenDawyck Botanic Gard",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Royal_Botanic_Garden_Edinburgh
,,,United Kingdom,,Benmore Botanic Garden,"Benmore Botanic Gardenin Argyll, formerly known as the Younger Botanic Garden",,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Benmore_Botanic_Garden
,,,United Kingdom,,Dawyck Botanic Garden,Dawyck Botanic Gardenin the Scottish Borders,,Wikipedia,https://en.wikipedia.org/wiki/List_of_botanical_gardens_in_the_United_Kingdom,https://en.wikipedia.org/wiki/Dawyck_Botanic_Garden
